Shops:,Shop Address:,Shop Website:
2nd Act Books,"214 East Main Street Charlottesville, Virginia 22902",https://www.2ndactbooks.com/
A and W Antique Mall,"3714 Richmond Rd Keswick, Virginia 22947",N/A
Agents in Style Luxury Consignment Boutique,"102 5th Street SE Charlottesville, Virginia 22902",https://agentsinstyle.com/
Alakazam Toys and Gifts,"100 E Main Street Charlottesville, Virginia 22902",https://www.alakazamtoys.com/
Albemarle Cannabis Company,"Various Farmer's Markets Charlottesville, Virginia 22902",https://www.albemarlecannabiscompany.com/
And George,"3465 Ivy Road Charlottesville, Virginia 22903",https://www.andgeorge.com/
Angelo Jewelery,"220 East Main Street Charlottesville, Virginia 22902",https://angelojewelry.com/
Arsenic and Old Lace Artful Lodger,"105 1st St S Charlottesville, Virginia 22902",http://arsenicandoldlacevtg.com/
Artful Lodger,"218 W. Market St Charlottesville, Virginia 22902",https://www.lodgerva.com/
Baine's Books and Coffee,"485 Valley Street Scottsville, Virginia 24590",https://baines-bookscoffee-scottsville.square.site/
Baked on the James,"300 Valley Street Scottsville, Virginia 24590",https://www.bakedonthejames.com/
The Barn Swallow,"796 Gillums Ridge Rd Charlottesville, Virginia 22903",https://www.thebarnswallow.com/
Barnes and Nobles,"1035 Emmet St, Suite A Charlottesville, Virginia 22903",http://store-locator.barnesandnoble.com/store/2559
Barracks Road Shopping Center,"1117 Emmet Street Charlottesville, Virginia 22903",http://batesvillemarket.com/
Batesville Market,"6624 Plank Road Batesville, Virginia 22924",http://www.barracksroad.com/
Be Just,"2415 Ivy Road Suite 120 Charlottesville, Virginia 22903",https://bejustcville.com/
Bittersweet Clothing and Accessories,"106 E. Main Street Charlottesville, Virginia 22902",http://www.shopbittersweet.com/
Blue Ridge Bottle Shop,"Piedmont Place, 2025 Library Ave. Suite 203 Crozet, Virginia 22932",http://www.blueridgebottleshop.com/
Blue Ridge Shopping Center,"545 Radford Lane Charlottesville, Virginia 22932",http://shopatblueridge.com/
Blue Whale Books,"115 West Main Street Charlottesville, Virginia 22901",https://www.loc8nearme.com/virginia/charlottesville/blue-whale-books/3132586/
Bluebird and Company,"5792 Three Notch’d Road Crozet, Virginia 22932",https://www.bluebirdcrozet.com/
Brooks Brothers ,"118 E. Main Street Charlottesville, Virginia 22902",http://www.brooksbrothers.com/
Carter Mountain Orchard,"1435 Carters Mountain Trl Charlottesville, Virginia 22902",https://cartermountainorchard.com/
Charlottesville City Market,"100 Water Street Charlottesville, Virginia 22902",http://www.charlottesville.gov/citymarket
Charlottesville Historic Downtown Mall,"108 5th St. NE Charlottesville, Virginia 22902",https://friendsofcville.org/
Circa Inc.,"1700 Allied Street Charlottesville, Virginia 22903",http://circainc.com/
Ctiy Clay,"700 Harris Street, Suite 104 Charlottesville, Virginia 22903",https://www.cityclaycville.com/
Consignment House Unlimited,"121 West Main Street Charlottesville, Virginia 22902",http://consignmenthouse.net/
Cottonwood Quilt Shop,"2035 Barracks Rd Charlottesville, Virginia 22903",https://www.cottonwoodquiltshop.com/
Coseville Shop Antiques,"5930 Covesville Store Road Covesville, Virginia 22931",https://www.covesvillestoreantiques.com/
Crozet Market,"5728 Three Notched Road Crozet, Virginia 22932",https://www.crozetmarket.com/
C'ville Refill Renew,"1717-B Allied Lane Charlottesville, Virginia 22902",https://www.refillrenew.com/
Cville Smoke Shop,"3447 Seminole Trail, Suite B Charlottesville, Virginia 22911",http://www.cvillesmokeshop.com/
Daedulus Bookshop,"123 Fourth Street, N. E. Charlottesville, Virginia 22902",N/A
Darling x Dashing,"115 1st Street S Charlottesville, Virginia 22902",https://www.shopdarlingxdashing.com/
Deloach Antiques and Design,"400 East Jefferson St Charlottesville, Virginia 22902",N/A
Derriere de Soie,"605 West Main Street Charlottesville, Virginia 22903",https://www.silkybottom.com/
Dick's Sporting Goods,"120 Wegmans Way, Building 200, 5th St Station Charlottesville, Virginia 22902",https://stores.dickssportinggoods.com/va/charlottesville/4604/
Dop3 Fashion,"1859 B Seminole Trail Charlottesville, Virginia 2290",https://dop3fashion.com/
Dovetail Design and Cabinetry,"1740 Broadway Street, Suite 3 Charlottesville, Virginia 22902",https://www.designbydovetail.com/
The Elderberry,"1917 Commonwealth Drive Charlottesville, Virginia 22901",https://www.elderberryherbals.com/
